log10.xvals,log10.ccdf,
902,1.9552065375,-Inf
903,1.9556877503,-Inf
904,1.9561684305,-Inf
905,1.9566485792,-Inf
906,1.9571281977,-Inf
907,1.9576072871,-Inf
908,1.9580858485,-Inf
909,1.9585638832,-Inf
910,1.9590413923,-Inf
911,1.959518377,-Inf
912,1.9599948383,-Inf
913,1.9604707775,-Inf
914,1.9609461957,-Inf
915,1.9614210941,-Inf
916,1.9618954737,-Inf
917,1.9623693357,-Inf
918,1.9628426812,-Inf
919,1.9633155114,-Inf
920,1.9637878273,-Inf
921,1.9642596302,-Inf
922,1.9647309211,-Inf
923,1.965201701,-Inf
924,1.9656719712,-Inf
925,1.9661417327,-Inf
926,1.9666109867,-Inf
927,1.9670797341,-Inf
928,1.9675479762,-Inf
929,1.968015714,-Inf
930,1.9684829486,-Inf
931,1.968949681,-Inf
932,1.9694159124,-Inf
933,1.9698816437,-Inf
934,1.9703468762,-Inf
935,1.9708116109,-Inf
936,1.9712758487,-Inf
937,1.9717395909,-Inf
938,1.9722028384,-Inf
939,1.9726655923,-Inf
940,1.9731278536,-Inf
941,1.9735896234,-Inf
942,1.9740509028,-Inf
943,1.9745116927,-Inf
944,1.9749719943,-Inf
945,1.9754318085,-Inf
946,1.9758911364,-Inf
947,1.976349979,-Inf
948,1.9768083373,-Inf
949,1.9772662124,-Inf
950,1.9777236053,-Inf
951,1.9781805169,-Inf
952,1.9786369484,-Inf
953,1.9790929006,-Inf
954,1.9795483747,-Inf
955,1.9800033716,-Inf
956,1.9804578923,-Inf
957,1.9809119378,-Inf
958,1.9813655091,-Inf
959,1.9818186072,-Inf
960,1.982271233,-Inf
961,1.9827233877,-Inf
962,1.983175072,-Inf
963,1.9836262871,-Inf
964,1.9840770339,-Inf
965,1.9845273133,-Inf
966,1.9849771264,-Inf
967,1.9854264741,-Inf
968,1.9858753573,-Inf
969,1.9863237771,-Inf
970,1.9867717343,-Inf
971,1.9872192299,-Inf
972,1.9876662649,-Inf
973,1.9881128403,-Inf
974,1.9885589569,-Inf
975,1.9890046157,-Inf
